#Index,X position (mm), Y position (mm), Length (um),Orientation #(deg), Area (Arbitrary)
539,0.70915,0.06915,9.6576,83.19,972
540,0.6647,-0.0727,6.0069,2.118,162
541,0.64405,0.0509,7.1016,10.349,287
542,0.6274,-0.05705,5.6044,1.3909,235
543,0.794,0.0879,13.425,-65.965,1169
544,0.78005,0.2083,5.2878,73.372,263
545,0.76675,0.2133,6.3232,32.066,509
546,0.73755,0.12605,7.5728,75.895,608
547,0.71355,0.1054,7.3786,78.189,631
548,0.6907,0.1542,6.0584,89.207,333
549,0.65135,0.08705,6.2966,-2.3592,311
550,0.602,0.171,4.2514,57.238,75
551,0.83065,0.34825,9.7388,-27.37,764
552,0.80305,0.31075,6.0294,-70.593,162
553,0.80105,0.29985,4.2051,-58.812,72
554,0.79555,0.3113,4.4435,-33.4,195
555,0.79015,0.30145,4.1128,-35.53,90
556,0.78,0.2956,13.831,-82.02,1930
557,0.78215,0.37355,5.6078,-89.479,141
558,0.75015,0.2873,4.1568,13.544,112
559,0.7453,0.32405,4.5259,-66.769,72
560,0.6721,0.33135,5.7903,81.279,218
561,0.65335,0.31985,6.5346,-81.619,499
562,0.64285,0.3065,5.6732,7.7455,235
